direction,count,mean,std,min,25%,50%,75%,max
EASTBOUND,8404629.0,1.138,0.606,0.658,0.967,1.0,1.052,60.0
WESTBOUND,8824475.0,1.067,0.438,0.68,0.966,1.0,1.05,55.0
