day_of_week_number,tti
0.0,1.0621085272435575
1.0,1.1461766407912894
2.0,1.1561461323362157
3.0,1.1649584456182607
4.0,1.109571629497252
5.0,1.0559459124360249
6.0,1.0183854265967385
