lag_step,correlation
1,0.927559245315997
2,0.8526331935200787
3,0.7913604204460817
4,0.7367667575761779
5,0.6868811384551959
6,0.6434459146285977
7,0.6037929320091265
8,0.5683774229348101
9,0.5354354976892252
10,0.5058210144306243
11,0.47658774736953025
12,0.44863043937180125
