horizon,model,validation_mae,validation_rmse,test_mae,test_rmse,mae_improvement_vs_persistence
30min,Persistence,0.15612130660615822,0.48969364377933927,0.1493371902644484,0.47748886543328034,0.0
30min,XGBoost,0.139001061410345,0.4102591673463561,0.13422022772811923,0.40301746575339364,0.01511696253632916
